T.Fe%,CaO%,MgO%,SiO2%,Al2O3%,MnO%,P%,Cr2O3%,AI
53.44,11.09,2.29,5.61,2.62,0.361,0.055,0.034,6.73
52.42,11.91,2.83,6.71,2.73,1.080,0.064,0.033,6.07
53.45,11.30,2.49,5.64,2.65,0.149,0.056,0.031,6.67
52.70,11.93,2.71,5.61,2.59,0.898,0.061,0.032,6.00
53.52,11.03,2.44,5.21,2.61,0.200,0.054,0.035,6.93
52.72,11.88,2.49,5.23,2.59,1.250,0.061,0.034,6.73
53.66,10.87,2.53,5.57,2.65,0.156,0.059,0.033,6.80
53.21,11.43,2.71,5.72,2.64,0.087,0.057,0.033,6.73
52.37,12.47,2.77,6.21,2.79,0.924,0.065,0.030,6.73
53.58,10.76,2.25,5.26,2.82,0.149,0.058,0.035,6.13
53.31,11.03,2.36,6.03,2.81,0.234,0.057,0.034,6.60
52.19,12.52,2.65,6.12,2.67,1.072,0.063,0.033,6.20
53.37,11.08,2.53,5.60,2.70,0.293,0.058,0.035,6.27
52.37,12.28,2.84,5.95,2.68,1.002,0.063,0.032,6.67
53.39,11.28,2.57,5.50,2.69,0.183,0.060,0.031,6.40
52.49,12.27,2.81,5.93,2.72,0.777,0.059,0.032,6.47
53.48,11.21,2.56,5.17,2.67,0.221,0.061,0.033,6.53
52.47,12.57,2.79,6.04,2.63,0.863,0.058,0.032,6.27
53.35,11.43,2.41,5.24,2.55,0.189,0.053,0.034,6.40
52.47,12.38,2.75,6.06,2.67,0.613,0.057,0.032,6.27
53.21,11.58,2.33,5.60,2.75,0.104,0.056,0.032,6.20
53.48,12.35,2.55,5.79,2.66,0.873,0.058,0.032,6.53
53.31,11.38,2.33,5.73,2.72,0.145,0.052,0.033,6.67
51.74,13.32,2.84,6.36,2.71,1.019,0.062,0.032,6.07
53.48,11.32,2.30,4.95,2.61,0.118,0.055,0.035,6.33
52.09,12.36,2.57,5.81,2.74,0.875,0.059,0.035,6.00
53.48,11.02,2.22,5.50,2.80,0.177,0.057,0.033,6.40
52.39,12.56,2.67,5.48,2.72,0.685,0.059,0.032,6.07
53.52,11.07,2.38,5.07,2.73,0.112,0.056,0.035,6.53
51.57,13.21,2.89,5.84,2.73,1.396,0.061,0.034,6.00
53.16,11.57,2.43,5.72,2.90,0.229,0.060,0.030,6.40
51.92,12.73,2.78,6.25,2.83,1.238,0.062,0.032,6.20
53.07,11.39,2.49,5.90,2.85,0.263,0.058,0.033,6.53
51.73,12.77,2.74,6.01,2.73,1.727,0.064,0.033,6.00
53.27,11.55,2.35,5.01,2.69,0.189,0.057,0.033,6.07
51.61,13.09,2.92,6.51,2.75,1.634,0.061,0.031,6.33
53.06,11.60,2.54,5.74,2.71,0.329,0.058,0.032,6.53
52.51,12.28,2.54,5.71,2.73,0.918,0.058,0.031,6.20
53.34,11.39,2.31,5.22,2.74,0.169,0.058,0.032,6.60
53.24,11.49,2.24,5.07,2.64,0.349,0.054,0.033,6.20
53.16,11.67,2.44,5.62,2.71,0.116,0.058,0.031,6.13
53.36,11.48,2.42,5.56,2.63,0.053,0.056,0.030,6.33
53.43,11.35,2.32,5.26,2.65,0.046,0.053,0.034,6.07
53.43,11.43,2.24,5.25,2.59,0.060,0.050,0.032,6.13
53.60,11.16,2.34,5.87,2.59,0.062,0.054,0.032,6.67
52.88,11.35,2.46,5.96,2.62,0.049,0.056,0.030,6.20
53.00,12.02,2.47,5.82,2.71,0.052,0.058,0.032,6.07
53.07,11.81,2.54,5.63,2.63,0.040,0.055,0.031,6.00
52.87,11.95,2.42,5.48,2.72,0.033,0.052,0.034,5.80
53.10,11.74,2.43,5.22,2.61,0.033,0.052,0.034,6.13
53.33,11.88,2.45,5.45,2.95,0.060,0.052,0.033,5.87
53.15,12.11,2.45,5.62,3.02,0.055,0.056,0.032,6.33
53.24,12.12,2.52,5.63,2.93,0.045,0.055,0.032,6.27
53.26,11.98,2.62,5.54,2.95,0.044,0.054,0.033,6.67
52.85,12.28,2.59,5.91,2.90,0.694,0.055,0.032,6.53
53.66,11.23,2.58,5.43,2.89,0.187,0.053,0.036,6.40
52.46,12.67,2.84,6.27,2.93,0.779,0.058,0.036,6.27
53.02,12.02,2.78,5.99,2.92,0.279,0.061,0.033,6.80
52.33,12.90,2.77,6.23,2.95,0.721,0.061,0.031,6.27
53.47,11.42,2.53,5.27,2.96,0.112,0.055,0.035,6.53
52.53,12.57,2.76,5.59,2.86,0.747,0.057,0.033,6.13
53.30,11.87,2.35,5.26,2.93,0.138,0.059,0.030,6.40
52.49,12.92,2.78,6.11,2.91,0.607,0.063,0.032,6.13
53.34,11.75,2.61,5.32,2.94,0.175,0.063,0.033,6.80
52.91,12.03,2.68,5.55,2.89,0.844,0.061,0.033,6.20
53.96,10.91,2.43,4.77,2.80,0.152,0.054,0.035,6.33
52.79,12.27,2.45,5.43,2.99,0.801,0.060,0.034,6.07
53.83,11.13,2.34,5.21,2.85,0.162,0.054,0.032,6.60
52.12,13.24,2.85,6.13,2.97,1.020,0.060,0.032,6.20
53.90,11.07,2.28,5.04,2.86,0.183,0.059,0.032,6.80
53.41,11.41,2.31,5.46,2.89,0.130,0.057,0.031,6.33
52.15,13.28,2.80,5.78,2.86,0.847,0.058,0.033,6.13
53.79,10.86,2.41,6.23,2.96,0.112,0.053,0.032,5.73
52.18,12.97,2.72,6.25,2.91,0.880,0.054,0.034,6.87
53.50,11.37,2.33,5.62,2.99,0.218,0.054,0.035,6.87
51.97,13.33,2.77,6.40,2.95,0.847,0.060,0.033,6.53
53.46,11.54,2.53,6.09,2.93,0.217,0.055,0.031,6.00
53.14,12.14,2.34,5.51,2.94,0.295,0.059,0.030,6.20
52.27,13.00,2.80,6.00,2.90,0.886,0.059,0.030,6.00
53.72,11.31,2.26,5.08,2.90,0.110,0.061,0.033,6.67
52.28,13.22,2.55,5.40,2.87,0.996,0.062,0.033,6.13
53.95,11.23,2.38,5.08,2.87,0.084,0.069,0.031,6.33
52.68,12.54,2.88,5.96,2.88,0.854,0.063,0.031,6.00
53.78,10.93,2.63,5.85,2.85,0.285,0.054,0.033,6.53
53.19,11.89,2.63,5.89,2.90,0.468,0.059,0.031,5.87
54.20,10.70,2.21,5.39,2.91,0.099,0.059,0.030,6.07
52.54,12.79,2.91,6.27,2.88,0.720,0.062,0.032,6.13
53.83,11.07,2.54,5.62,2.90,0.151,0.059,0.032,6.60
52.03,13.47,2.71,6.34,2.85,0.917,0.061,0.030,5.93
53.83,10.98,2.35,5.52,2.90,0.131,0.056,0.034,6.40
52.04,13.43,2.83,6.28,2.91,1.010,0.062,0.030,6.07
53.48,11.50,2.52,6.06,2.99,0.172,0.056,0.032,6.33
51.91,13.62,2.99,6.65,2.90,0.919,0.061,0.031,6.20
53.10,12.03,2.62,5.71,2.84,0.448,0.055,0.033,6.87
52.33,13.17,2.75,5.85,2.83,0.735,0.057,0.032,6.00
53.65,11.58,2.36,4.95,2.80,0.084,0.052,0.033,6.60
52.08,13.19,2.79,6.22,2.87,1.010,0.057,0.032,6.00
53.91,11.01,2.31,5.78,2.98,0.145,0.053,0.032,6.53
52.60,12.74,2.89,6.06,2.83,0.583,0.057,0.031,6.13
53.70,10.99,2.31,5.80,2.95,0.085,0.052,0.035,7.07
51.64,13.90,2.87,6.46,2.95,0.744,0.056,0.032,5.80
53.40,11.73,2.60,5.90,2.93,0.163,0.053,0.030,6.00
51.87,13.64,2.80,6.58,2.94,0.725,0.059,0.032,5.93
53.35,11.95,2.49,5.48,2.86,0.174,0.057,0.033,6.80
51.87,13.88,2.83,6.25,2.87,0.751,0.059,0.032,5.87
53.23,11.79,2.67,6.34,3.02,0.114,0.053,0.031,6.47
51.86,13.61,3.09,6.96,2.94,0.767,0.056,0.031,5.80
52.74,12.57,2.78,6.55,3.07,0.167,0.058,0.030,6.60
51.78,13.76,2.96,6.75,2.94,0.664,0.056,0.033,5.73
52.91,12.24,2.74,6.05,3.03,0.141,0.055,0.031,6.07
52.39,12.92,2.95,6.47,3.01,0.357,0.055,0.033,6.00
53.41,11.68,2.62,5.90,2.95,0.100,0.051,0.033,6.67
52.18,13.19,2.98,6.48,2.87,0.719,0.057,0.032,5.80
53.50,11.58,2.56,5.73,2.90,0.181,0.058,0.033,6.20
51.92,13.55,3.06,6.57,2.82,0.573,0.060,0.034,6.53
53.45,11.79,2.47,4.96,2.87,0.141,0.058,0.033,6.73
53.56,11.53,2.29,5.37,3.00,0.123,0.053,0.034,6.33
51.96,13.64,3.11,6.53,2.94,0.594,0.058,0.033,6.80
53.98,11.16,2.24,4.67,2.78,0.108,0.052,0.032,6.73
51.97,13.67,3.04,6.42,2.93,0.567,0.060,0.032,5.73
53.54,11.59,2.52,5.63,2.90,0.169,0.055,0.031,6.67
52.09,13.55,2.69,5.89,2.83,0.797,0.056,0.034,5.67
53.38,11.74,2.59,5.40,2.89,0.139,0.056,0.034,6.40
51.94,13.77,2.90,6.18,2.85,0.951,0.058,0.032,6.20
53.77,11.48,2.30,5.27,2.79,0.298,0.057,0.032,6.00
52.04,13.47,3.02,6.39,2.84,0.915,0.062,0.032,5.80
53.95,11.04,2.46,5.12,2.88,0.206,0.057,0.033,7.07
52.09,13.37,3.11,5.92,2.80,1.229,0.058,0.034,6.13
53.40,11.77,2.43,5.56,2.84,0.362,0.057,0.034,6.87
51.59,14.17,3.06,6.69,2.79,0.995,0.060,0.034,5.60
53.58,11.54,2.45,5.62,2.78,0.171,0.057,0.032,6.73
51.69,14.07,2.99,6.67,2.85,0.937,0.063,0.033,6.13
53.58,11.60,2.33,5.49,2.85,0.133,0.058,0.032,6.80
51.41,14.60,2.86,6.55,0.78,0.780,0.063,0.031,5.93
53.28,11.84,2.65,6.22,2.91,0.145,0.059,0.039,5.93
51.27,14.17,3.18,6.85,2.82,0.905,0.062,0.033,6.00
53.31,11.63,2.84,6.41,2.91,0.167,0.060,0.032,6.00
51.31,14.62,3.07,6.89,2.88,0.996,0.065,0.031,5.73
52.92,12.17,2.64,6.14,2.92,0.204,0.061,0.035,6.93
50.45,14.68,3.28,7.13,2.79,0.936,0.062,0.035,5.87
53.22,12.02,2.55,6.32,2.83,0.226,0.063,0.031,6.07
51.11,14.94,3.12,6.90,2.80,0.877,0.061,0.030,5.60
53.38,11.92,2.55,6.39,2.83,0.151,0.062,0.029,5.87
51.83,14.02,2.94,6.70,2.87,0.777,0.061,0.030,5.80
53.50,11.75,2.26,5.73,2.84,0.126,0.059,0.033,6.27
53.73,11.32,2.41,5.60,2.83,0.135,0.061,0.032,6.33
52.79,12.62,2.63,6.17,2.90,0.333,0.064,0.030,6.07
53.64,11.44,2.51,5.90,2.84,0.110,0.063,0.030,6.53
52.43,12.95,2.83,6.37,2.76,0.540,0.063,0.031,6.33
53.92,11.01,2.45,5.92,2.82,0.109,0.065,0.031,6.67
51.80,13.81,2.76,5.96,2.77,1.020,0.065,0.033,6.20
53.28,12.07,2.47,5.65,2.80,0.161,0.063,0.032,6.60
50.71,14.60,2.98,6.98,2.81,0.985,0.066,0.030,6.00
53.15,12.02,2.51,6.08,2.90,0.255,0.064,0.033,6.73
51.48,14.31,2.93,6.55,2.86,1.062,0.067,0.031,5.93
53.19,12.04,2.53,5.89,2.92,0.170,0.064,0.033,6.67
51.62,14.17,2.91,6.29,2.83,0.816,0.065,0.033,5.93
53.69,11.27,2.59,5.74,2.83,0.151,0.064,0.032,6.40
51.94,13.62,2.91,6.67,2.83,0.907,0.066,0.031,5.87
53.16,11.92,2.69,6.02,3.01,0.198,0.065,0.034,6.33
50.66,14.01,3.03,6.53,2.88,1.058,0.069,0.032,6.13
53.51,11.40,2.36,6.34,3.13,0.196,0.067,0.032,6.47
51.63,14.10,2.88,6.80,2.95,0.815,0.070,0.031,5.73
53.20,11.84,2.56,5.83,3.06,0.167,0.065,0.035,6.60
51.34,14.52,2.82,6.38,2.95,1.121,0.067,0.032,5.33
53.49,11.65,2.41,5.99,3.02,0.212,0.067,0.032,6.13
52.06,13.55,2.91,6.58,2.95,0.826,0.068,0.034,6.00
53.19,11.96,2.49,6.16,3.06,0.210,0.069,0.031,6.73
50.82,14.24,3.08,7.18,2.93,0.998,0.067,0.031,5.93
53.11,12.35,2.53,5.98,2.96,0.322,0.066,0.030,6.13
51.54,14.11,2.87,6.36,2.90,1.190,0.066,0.032,5.60
53.83,11.26,2.34,5.30,2.92,0.117,0.064,0.034,6.80
51.04,14.89,3.03,6.58,2.94,1.460,0.072,0.032,5.93
53.52,11.72,2.39,5.62,2.91,0.202,0.069,0.032,6.53
50.54,14.80,3.30,6.96,2.92,0.773,0.071,0.031,6.07
53.70,11.52,2.53,5.24,2.94,0.131,0.066,0.034,6.87
50.89,14.21,2.94,6.20,2.89,0.868,0.067,0.031,5.67
53.87,11.12,2.53,5.99,2.91,0.140,0.067,0.032,6.73
51.60,14.08,3.26,6.64,2.87,0.908,0.068,0.032,6.07
53.18,12.40,2.35,5.70,2.93,0.178,0.067,0.031,6.40
51.73,14.37,2.90,6.26,2.82,0.732,0.067,0.030,5.80
54.13,11.05,2.55,4.82,2.63,0.097,0.059,0.037,5.93
51.83,14.13,3.09,6.00,2.82,0.860,0.064,0.032,6.00
53.16,12.76,2.26,5.11,2.78,0.183,0.064,0.029,6.40
52.99,13.15,2.35,4.80,2.72,0.075,0.063,0.029,6.47
51.88,14.35,2.77,6.09,2.79,0.852,0.065,0.029,7.47
53.71,11.73,2.55,4.99,2.77,0.191,0.062,0.034,6.87
52.03,14.13,2.76,5.86,2.78,0.849,0.067,0.030,5.67
53.39,11.78,2.69,5.49,2.85,0.244,0.062,0.038,6.80
51.27,14.64,3.26,6.33,2.86,1.220,0.065,0.035,6.07
53.70,11.16,2.61,6.07,2.90,0.175,0.064,0.033,6.53
51.86,13.84,3.09,6.95,2.96,0.809,0.073,0.030,5.93
53.64,11.32,2.73,6.33,2.91,0.180,0.068,0.032,6.53
51.77,14.06,3.08,6.82,2.89,0.917,0.070,0.030,5.93
53.25,11.83,2.81,6.60,3.00,0.195,0.070,0.032,5.93
52.17,13.41,2.80,6.34,2.89,0.916,0.069,0.032,5.93
53.39,11.68,2.70,5.82,2.93,0.156,0.065,0.034,6.27
51.39,13.51,2.88,6.40,2.96,0.637,0.067,0.032,5.93
52.99,12.20,2.94,6.56,2.95,0.222,0.066,0.032,6.73
51.57,14.26,2.95,6.56,2.88,1.127,0.067,0.030,5.80
52.90,12.17,2.92,6.10,3.03,0.244,0.062,0.034,6.53
50.49,14.31,3.11,6.35,2.83,1.080,0.059,0.032,5.60
52.75,12.49,2.68,6.96,3.10,0.249,0.067,0.033,6.53
51.32,14.28,3.23,7.00,2.98,0.867,0.064,0.032,5.80
53.55,11.39,2.74,6.32,3.06,0.164,0.061,0.032,6.87
53.28,11.66,2.89,6.41,3.05,0.211,0.061,0.032,6.60
52.03,13.36,2.93,6.82,3.10,0.656,0.065,0.032,6.33
52.50,12.47,2.88,6.90,3.19,0.446,0.063,0.032,6.47
51.61,14.03,3.12,6.73,3.08,0.670,0.063,0.031,6.00
53.29,11.85,2.66,6.20,3.08,0.195,0.063,0.031,6.67
51.27,14.62,2.81,6.42,3.06,0.954,0.064,0.031,6.07
53.31,11.68,2.61,5.84,3.17,0.142,0.060,0.033,6.73
53.22,11.61,2.88,6.76,3.18,0.091,0.061,0.031,6.93
53.19,11.66,2.75,6.68,3.26,0.070,0.063,0.031,6.33
53.15,11.70,2.72,6.22,3.21,0.100,0.059,0.034,6.80
53.48,11.41,2.53,5.91,3.13,0.081,0.060,0.035,6.87
53.90,10.73,2.48,5.75,3.17,0.066,0.062,0.036,6.40
51.37,13.78,3.07,6.67,2.97,0.862,0.062,0.032,6.13
53.40,11.53,2.58,6.34,3.25,0.130,0.067,0.031,6.53
51.46,13.98,3.01,6.76,2.98,0.719,0.063,0.031,5.73
53.47,11.38,2.55,6.21,3.29,0.142,0.067,0.032,6.40
51.62,14.22,3.05,6.56,3.04,0.509,0.067,0.032,5.80
53.19,11.96,2.58,6.43,3.10,0.107,0.068,0.030,6.40
50.95,15.30,2.89,6.74,3.00,0.677,0.065,0.030,5.87
52.85,12.27,3.04,6.58,3.06,0.170,0.064,0.034,6.27
52.48,13.08,2.97,6.37,2.96,0.207,0.062,0.031,6.07
52.77,12.71,2.76,5.83,2.85,0.159,0.063,0.032,6.40
51.25,15.19,2.94,6.48,2.86,0.590,0.069,0.029,5.73
52.95,12.37,2.54,5.99,2.98,0.145,0.066,0.031,5.80
52.94,12.37,2.67,6.21,2.91,0.123,0.064,0.032,5.93
53.50,11.78,2.51,5.86,2.80,0.106,0.063,0.031,6.53
51.26,14.90,3.17,6.94,2.88,0.371,0.063,0.031,5.73
52.45,12.87,2.88,6.19,3.02,0.133,0.060,0.033,6.27
52.98,12.03,2.91,5.97,2.96,0.162,0.057,0.034,5.87
52.99,12.19,2.65,6.38,3.01,0.134,0.061,0.031,6.27
51.67,14.26,3.09,6.74,2.89,0.537,0.064,0.031,6.13
53.48,11.52,2.63,5.55,2.84,0.233,0.061,0.034,6.60
50.75,14.26,2.88,6.35,2.79,0.960,0.058,0.031,5.60
53.07,12.18,2.58,6.60,2.89,0.136,0.061,0.030,6.07
51.18,14.83,3.12,6.32,2.82,0.696,0.062,0.033,6.00
53.01,12.38,2.77,6.01,2.98,0.122,0.062,0.031,6.07
51.11,15.09,2.83,6.33,2.89,0.696,0.060,0.031,5.93
53.02,12.11,2.54,6.25,3.08,0.100,0.063,0.033,6.47
52.36,13.05,2.68,6.35,3.11,0.246,0.065,0.032,5.93
52.88,12.39,2.72,6.38,3.01,0.147,0.063,0.031,6.27
51.18,14.94,3.30,7.25,3.01,0.496,0.064,0.030,6.00
52.67,12.42,2.83,6.71,3.14,0.184,0.063,0.032,6.53
51.02,15.06,3.12,6.86,3.05,0.665,0.061,0.030,6.33
53.11,11.86,2.64,6.15,3.27,0.127,0.064,0.035,6.40
53.09,11.68,2.65,6.37,3.27,0.086,0.063,0.035,6.53
52.70,12.59,2.91,6.53,3.12,0.201,0.064,0.032,6.47
50.93,14.74,3.44,6.81,3.01,0.673,0.070,0.031,6.13
52.44,13.01,2.93,5.75,2.97,0.201,0.065,0.031,6.40
50.65,14.48,3.43,6.36,2.73,0.633,0.064,0.031,5.60
53.13,12.44,2.82,5.39,2.72,0.185,0.065,0.030,6.53
50.71,14.92,3.41,6.63,2.87,1.130,0.064,0.031,5.67
52.95,12.61,2.79,5.35,2.91,0.176,0.061,0.033,6.47
51.47,14.65,3.28,6.22,2.83,0.816,0.062,0.031,5.80
52.77,12.77,2.82,5.55,2.82,0.168,0.060,0.034,6.40
50.67,14.68,3.17,6.15,2.79,0.680,0.061,0.032,5.67
52.32,13.42,3.07,5.95,2.89,0.312,0.068,0.032,6.73
51.33,14.92,3.25,6.17,2.90,0.534,0.066,0.031,5.80
53.14,12.03,3.00,6.02,2.87,0.137,0.060,0.033,6.40
51.17,14.16,3.37,6.80,2.83,0.829,0.064,0.031,5.80
53.58,11.60,2.81,5.84,2.77,0.140,0.065,0.031,6.40
51.56,14.52,3.16,6.37,2.84,0.634,0.068,0.031,5.93
52.85,12.67,2.89,5.70,2.78,0.361,0.067,0.032,6.27
51.41,14.51,3.14,6.69,2.87,0.914,0.067,0.030,5.80
53.31,11.71,2.67,5.86,2.91,0.281,0.061,0.034,6.00
51.55,14.05,3.15,6.74,3.00,1.160,0.067,0.030,5.80
53.49,11.49,2.56,5.94,3.04,0.215,0.066,0.033,6.67
51.43,14.27,3.22,6.98,3.01,0.808,0.065,0.031,5.87
52.69,12.48,2.97,6.55,2.98,0.404,0.062,0.031,6.40
51.32,14.09,3.20,6.35,2.72,1.145,0.062,0.031,6.07
53.51,11.69,2.89,5.20,2.63,0.172,0.061,0.033,6.53
50.68,14.18,3.39,6.29,2.77,0.740,0.060,0.031,6.07
53.41,12.00,2.85,5.61,2.74,0.170,0.061,0.033,6.20
51.15,14.28,3.62,6.48,2.68,0.865,0.063,0.032,6.13
53.19,12.09,2.91,5.80,2.72,0.173,0.059,0.035,6.07
50.20,14.69,3.36,6.54,2.71,0.749,0.060,0.031,6.07
53.24,12.21,2.66,5.41,2.67,0.138,0.061,0.032,6.47
51.30,14.82,3.18,6.57,2.74,0.923,0.063,0.031,5.80
53.28,12.02,2.80,6.31,2.72,0.147,0.059,0.030,6.00
50.48,14.60,3.15,6.68,2.71,0.810,0.064,0.031,6.07
53.05,12.24,2.87,5.73,2.80,0.138,0.060,0.033,5.80
50.03,14.77,3.22,6.47,2.79,1.145,0.064,0.031,5.93
53.66,11.15,2.71,6.24,2.94,0.184,0.063,0.032,6.27
51.41,14.27,3.32,7.31,2.99,0.927,0.068,0.031,6.20
53.41,11.41,2.93,6.21,3.01,0.179,0.064,0.033,6.80
51.59,14.05,3.06,6.65,2.92,0.662,0.064,0.034,5.93
53.21,11.85,2.77,5.90,2.97,0.183,0.061,0.033,6.40
51.15,14.60,3.29,7.27,3.06,0.761,0.064,0.032,5.80
52.49,12.66,2.86,6.82,3.10,0.307,0.067,0.033,6.27
51.33,14.05,3.14,7.22,2.99,0.654,0.065,0.032,6.40
52.78,12.24,2.86,6.42,3.08,0.144,0.060,0.033,6.53
50.34,13.85,3.03,7.08,3.00,0.906,0.069,0.032,6.20
52.70,12.49,2.87,6.85,3.05,0.231,0.064,0.033,6.60
51.05,14.04,3.32,7.17,2.85,0.932,0.063,0.034,5.47
51.46,12.50,2.98,7.14,2.91,0.367,0.061,0.033,5.80
50.51,14.06,3.30,7.00,2.80,0.937,0.062,0.033,5.80
52.99,12.08,2.88,6.33,2.93,0.195,0.060,0.033,5.93
52.97,12.22,2.74,6.56,3.02,0.229,0.063,0.033,5.80
51.13,13.65,3.04,7.17,3.08,0.764,0.069,0.032,5.87
53.20,11.64,2.83,6.67,3.04,0.207,0.065,0.033,6.13
51.73,13.52,3.28,7.10,2.96,0.873,0.069,0.032,6.00
53.03,12.24,2.93,6.49,2.87,0.170,0.063,0.029,6.00
51.55,13.91,3.22,6.89,2.92,0.941,0.066,0.032,6.07
51.53,14.44,3.21,7.09,2.94,0.386,0.069,0.030,6.00
53.18,11.76,2.78,6.51,2.99,0.117,0.063,0.031,6.33
51.74,14.03,3.17,7.11,2.93,0.381,0.069,0.031,6.00
53.56,11.36,2.58,5.97,2.94,0.099,0.062,0.033,6.93
51.52,14.66,3.04,6.46,2.84,0.351,0.067,0.032,6.13
52.89,12.21,2.84,6.39,3.02,0.094,0.066,0.033,6.07
50.82,13.93,3.04,7.02,2.90,0.309,0.066,0.031,6.20
52.68,12.34,2.63,6.71,3.00,0.123,0.063,0.032,6.53
51.02,14.85,3.15,7.03,2.95,0.380,0.067,0.033,6.33
52.24,12.17,2.82,6.94,3.14,0.125,0.061,0.033,6.60
49.73,15.15,3.18,7.16,2.91,0.339,0.068,0.031,5.93
52.95,12.02,2.72,6.94,3.07,0.118,0.061,0.031,6.07
52.05,13.57,3.12,7.07,2.96,0.302,0.065,0.034,6.00
53.09,11.71,2.54,6.77,3.17,0.082,0.062,0.034,6.40
51.14,14.44,3.15,6.97,2.81,0.485,0.066,0.033,6.20
51.93,13.54,3.07,7.24,3.03,0.200,0.062,0.033,6.33
51.49,14.40,3.00,7.05,2.90,0.344,0.067,0.032,6.20
52.80,12.52,2.58,6.90,3.07,0.261,0.063,0.029,6.47
51.63,14.41,3.04,7.48,2.92,0.294,0.066,0.030,5.87
53.05,12.26,2.40,6.13,2.94,0.230,0.062,0.030,6.67
53.38,11.98,2.66,5.49,2.84,0.143,0.063,0.032,6.13
52.02,13.76,3.11,6.92,2.89,0.189,0.066,0.032,6.07
52.44,13.17,2.73,5.98,2.85,0.226,0.063,0.031,6.27
50.94,14.46,2.97,6.48,2.77,0.310,0.064,0.030,6.07
52.86,12.60,2.82,6.21,2.90,0.121,0.064,0.031,6.07
50.70,14.92,3.17,7.16,2.84,0.312,0.065,0.031,5.73
52.85,12.31,2.65,6.23,2.94,0.129,0.062,0.032,6.87
51.29,14.10,3.17,6.81,2.79,0.255,0.065,0.031,6.07
53.12,12.03,2.64,5.96,2.81,0.093,0.060,0.033,6.33
51.09,14.17,2.88,6.54,2.90,0.300,0.063,0.032,6.07
53.55,11.46,2.71,6.42,2.89,0.126,0.062,0.031,6.27
51.44,13.79,3.07,7.20,2.77,0.323,0.064,0.030,6.07
53.23,11.68,2.64,6.51,2.96,0.096,0.060,0.034,6.13
51.69,14.10,3.10,6.57,2.83,0.542,0.062,0.032,6.07
53.25,11.81,2.82,6.67,3.00,0.154,0.063,0.030,6.47
53.26,11.68,2.66,6.37,2.93,0.107,0.058,0.034,6.73
53.51,11.59,2.60,5.73,2.93,0.091,0.061,0.033,7.07
53.84,11.14,2.43,5.80,2.95,0.067,0.060,0.032,6.07
53.76,11.22,2.49,5.66,2.87,0.090,0.058,0.033,6.87
53.52,11.44,2.57,5.86,2.86,0.079,0.059,0.031,6.40
53.79,11.21,2.43,6.00,2.90,0.138,0.060,0.031,6.00
53.56,11.65,2.49,5.82,2.88,0.169,0.059,0.033,6.93
52.34,13.16,3.14,6.29,2.79,0.343,0.060,0.033,6.33
51.43,13.62,3.07,6.33,2.76,0.510,0.062,0.032,6.47
51.95,13.75,3.10,6.39,2.79,0.512,0.063,0.032,6.07
53.34,11.52,2.76,6.41,2.96,0.221,0.061,0.033,6.13
53.10,11.82,2.96,6.26,2.89,0.194,0.058,0.034,6.00
53.10,11.80,2.76,6.80,2.92,0.092,0.058,0.034,6.93
51.09,13.86,3.00,6.43,2.77,0.724,0.063,0.032,6.47
52.99,11.96,3.06,6.88,2.93,0.135,0.061,0.032,6.13
51.88,13.85,3.34,6.78,2.82,0.365,0.064,0.034,6.20
53.49,11.34,2.56,6.03,2.93,0.125,0.063,0.035,7.27
51.96,13.61,3.10,6.63,2.80,0.321,0.062,0.034,6.13
53.52,11.20,2.65,6.16,2.99,0.100,0.060,0.035,6.40
52.25,13.34,2.97,6.40,2.80,0.419,0.067,0.033,5.93
53.48,11.46,2.80,6.35,2.96,0.108,0.061,0.033,6.73
52.57,12.94,3.05,6.84,2.81,0.243,0.067,0.032,5.93
53.37,11.38,2.62,6.43,2.93,0.140,0.061,0.031,6.87
51.68,13.95,3.11,6.69,2.74,0.354,0.065,0.032,6.33
53.52,11.60,2.53,5.58,2.85,0.080,0.062,0.034,6.20
51.78,14.00,3.05,6.44,2.75,0.409,0.062,0.033,5.53
52.38,13.08,3.13,6.59,2.81,0.269,0.065,0.033,6.40
52.55,13.07,3.05,6.56,2.80,0.225,0.064,0.031,6.27
53.71,11.25,2.55,5.75,2.86,0.062,0.061,0.034,6.73
52.90,12.17,2.66,6.44,2.88,0.480,0.060,0.033,6.67
53.86,11.02,2.54,6.03,2.83,0.169,0.062,0.031,6.07
53.75,11.08,2.59,6.15,2.94,0.095,0.059,0.033,5.80
54.26,10.37,2.55,5.61,2.79,0.072,0.056,0.035,6.00
51.73,13.20,2.88,6.99,2.76,0.331,0.066,0.030,5.53
53.90,11.03,2.36,5.58,2.66,0.116,0.062,0.034,6.07
53.77,11.24,2.36,5.19,2.71,0.188,0.066,0.031,5.93
52.85,12.60,2.69,5.66,2.72,0.451,0.061,0.033,6.47
51.16,13.53,3.06,6.82,2.81,1.522,0.065,0.030,6.53
53.55,11.64,2.39,5.38,2.78,0.156,0.060,0.032,6.40
51.96,13.77,2.98,6.31,2.83,0.729,0.068,0.032,6.47
53.79,11.31,2.44,5.74,2.89,0.143,0.063,0.031,6.40
52.16,13.63,2.88,6.29,2.83,0.548,0.067,0.030,6.13
54.33,10.89,2.44,6.03,2.78,0.090,0.063,0.032,6.27
52.13,13.89,3.03,6.55,2.73,0.434,0.065,0.033,6.53
54.08,11.16,2.52,5.88,2.76,0.122,0.066,0.035,6.40
